day;path;comments
116;data/VolProbDiscrim-15.10.15.csv;
117;data/VolProbDiscrim-15.10.16.csv;
118;data/VolProbDiscrim-15.10.17.csv;
119;data/VolProbDiscrim-15.10.18.csv;
120;data/VolProbDiscrim-15.10.19.csv;
121;data/VolProbDiscrim-15.10.20.csv;
122;data/VolProbDiscrim-15.10.21.csv;
123;data/VolProbDiscrim-15.10.22.csv;
124;data/VolProbDiscrim-15.10.23.csv;
125;data/VolProbDiscrim-15.10.24.csv;
126;data/VolProbDiscrimExploreP-15.10.25.csv;
127;data/VolProbDiscrim-15.10.26.csv;
128;data/VolProbDiscrim-15.10.27.csv;
129;data/VolProbDiscrim-15.10.28.csv;
130;data/VolProbDiscrim-15.10.29.csv;
131;data/VolProbDiscrim-15.10.30.csv;
132;data/VolProbDiscrim-15.10.31.csv;
133;data/VolProbDiscrim-15.11.01.csv;
134;data/VolProbDiscrim-15.11.02.csv;
135;data/VolProbDiscrim-15.11.03.csv;
136;data/VolProbDiscrim-15.11.04.csv;
137;data/VolProbDiscrimExploreP-15.11.05.csv;
138;data/VolProbDiscrim-15.11.06.csv;
139;data/VolProbDiscrim-15.11.07.csv;
140;data/VolProbDiscrim-15.11.08.csv;
141;data/VolProbDiscrim-15.11.09.csv;
142;data/VolProbDiscrim-15.11.10.csv;
143;data/VolProbDiscrim-15.11.11.csv;
144;data/VolProbDiscrim-15.11.12.csv;
145;data/VolProbDiscrim-15.11.13.csv;
146;data/VolProbDiscrim-15.11.14.csv;
147;data/VolProbDiscrim-15.11.15.csv;
148;data/VolProbDiscrim-15.11.16.csv;
149;data/VolProbDiscrim-15.11.17.csv;
150;data/VolProbDiscrim-15.11.18.csv;
151;data/VolProbDiscrim-15.11.19.csv;
152;data/VolProbDiscrim-15.11.20.csv;
153;data/VolProbDiscrim-15.11.21.csv;
154;data/VolProbDiscrimExploreP-15.11.26.csv;water ad. lib. for 4 days
155;data/VolProbDiscrim-15.11.27.csv;
156;data/VolProbDiscrim-15.11.28.csv;
157;data/VolProbDiscrim-15.11.29.csv;
158;data/VolProbDiscrim-15.11.30.csv;
159;data/VolProbDiscrim-15.12.01.csv;
160;data/VolProbDiscrim-15.12.02.csv;
161;data/VolProbDiscrim-15.12.03.csv;
162;data/VolProbDiscrim-15.12.04.csv;
163;data/VolProbDiscrim-15.12.05.csv;
164;data/VolProbDiscrim-15.12.06.csv;
165;data/VolProbDiscrim-15.12.07.csv;
166;data/VolProbDiscrim-15.12.08.csv;
