day;IdLabel;loc;prob;volm;rel;prof;discard;cohort;cond;experiment;rint
1;m97;2;0;0;0;NA;0;1;BPV2;1;0.857142857
1;m97;3;0.5;20;1;1;0;1;BPV2;1;0.857142857
1;m97;4;0.2;20;1;0;0;1;BPV2;1;0.857142857
1;m99;1;0;0;0;NA;0;1;BVP1;1;1.333333333
1;m99;2;0;0;0;NA;0;1;BVP1;1;1.333333333
1;m99;3;0.2;20;1;1;0;1;BVP1;1;1.333333333
1;m99;4;0.2;4;1;0;0;1;BVP1;1;1.333333333
2;m1;1;0.2;20;1;1;0;1;BVP1;1;1.333333333
2;m1;2;0.2;4;1;0;0;1;BVP1;1;1.333333333
2;m1;3;0;0;0;NA;0;1;BVP1;1;1.333333333
2;m1;4;0;0;0;NA;0;1;BVP1;1;1.333333333
2;m3;1;0.5;4;1;1;0;1;BPV1;1;0.857142857
2;m3;2;0.2;4;1;0;0;1;BPV1;1;0.857142857
2;m3;3;0;0;0;NA;0;1;BPV1;1;0.857142857
2;m3;4;0;0;0;NA;0;1;BPV1;1;0.857142857
2;m4;1;0.2;20;1;0;0;1;BPV2;1;0.857142857
2;m4;2;0.5;20;1;1;0;1;BPV2;1;0.857142857
2;m4;3;0;0;0;NA;0;1;BPV2;1;0.857142857
2;m4;4;0;0;0;NA;0;1;BPV2;1;0.857142857
2;m5;1;0.2;20;1;1;0;1;I;1;-0.476190476
2;m5;2;0.5;4;1;0;0;1;I;1;-0.476190476
2;m5;3;0;0;0;NA;0;1;I;1;-0.476190476
2;m5;4;0;0;0;NA;0;1;I;1;-0.476190476
2;m6;1;0;0;0;NA;0;1;BVP2;1;1.333333333
2;m6;2;0;0;0;NA;0;1;BVP2;1;1.333333333
2;m6;3;0.5;20;1;1;0;1;BVP2;1;1.333333333
2;m6;4;0.5;4;1;0;0;1;BVP2;1;1.333333333
2;m96;1;0;0;0;NA;0;1;C;1;1.333333333
2;m96;2;0;0;0;NA;0;1;C;1;1.333333333
2;m96;3;0.5;20;1;1;0;1;C;1;1.333333333
2;m96;4;0.2;4;1;0;0;1;C;1;1.333333333
2;m97;1;0;0;0;NA;0;1;BPV2;1;0.857142857
2;m97;2;0;0;0;NA;0;1;BPV2;1;0.857142857
2;m97;3;0.2;20;1;0;0;1;BPV2;1;0.857142857
2;m97;4;0.5;20;1;1;0;1;BPV2;1;0.857142857
2;m99;1;0;0;0;NA;0;1;BVP1;1;1.333333333
2;m99;2;0;0;0;NA;0;1;BVP1;1;1.333333333
2;m99;3;0.2;4;1;0;0;1;BVP1;1;1.333333333
2;m99;4;0.2;20;1;1;0;1;BVP1;1;1.333333333
3;m1;1;0.2;4;1;0;0;1;BPV1;1;0.857142857
3;m1;2;0;0;0;NA;0;1;BPV1;1;0.857142857
3;m1;3;0.5;4;1;1;0;1;BPV1;1;0.857142857
3;m1;4;0;0;0;NA;0;1;BPV1;1;0.857142857
3;m3;1;0.5;4;1;0;0;1;BVP2;1;1.333333333
3;m3;2;0;0;0;NA;0;1;BVP2;1;1.333333333
3;m3;3;0.5;20;1;1;0;1;BVP2;1;1.333333333
3;m3;4;0;0;0;NA;0;1;BVP2;1;1.333333333
3;m4;1;0;0;0;NA;0;1;BVP2;1;1.333333333
3;m4;2;0.5;20;1;1;0;1;BVP2;1;1.333333333
3;m4;3;0;0;0;NA;0;1;BVP2;1;1.333333333
3;m4;4;0.5;4;1;0;0;1;BVP2;1;1.333333333
3;m5;1;0;0;0;NA;0;1;BVP1;1;1.333333333
3;m5;2;0.2;20;1;1;0;1;BVP1;1;1.333333333
3;m5;3;0;0;0;NA;0;1;BVP1;1;1.333333333
3;m5;4;0.2;4;1;0;0;1;BVP1;1;1.333333333
3;m6;1;0.5;20;1;1;0;1;BPV2;1;0.857142857
3;m6;2;0;0;0;NA;0;1;BPV2;1;0.857142857
3;m6;3;0.2;20;1;0;0;1;BPV2;1;0.857142857
3;m6;4;0;0;0;NA;0;1;BPV2;1;0.857142857
3;m96;1;0.5;4;1;0;0;1;I;1;-0.476190476
3;m96;2;0;0;0;NA;0;1;I;1;-0.476190476
3;m96;3;0.2;20;1;1;0;1;I;1;-0.476190476
3;m96;4;0;0;0;NA;0;1;I;1;-0.476190476
3;m97;1;0;0;0;NA;0;1;C;1;1.333333333
3;m97;2;0.2;4;1;0;0;1;C;1;1.333333333
3;m97;3;0;0;0;NA;0;1;C;1;1.333333333
3;m97;4;0.5;20;1;1;0;1;C;1;1.333333333
3;m99;1;0;0;0;NA;0;1;BPV2;1;0.857142857
3;m99;2;0.2;20;1;0;0;1;BPV2;1;0.857142857
3;m99;3;0;0;0;NA;0;1;BPV2;1;0.857142857
3;m99;4;0.5;20;1;1;0;1;BPV2;1;0.857142857
4;m1;1;0.5;4;1;1;0;1;BPV1;1;0.857142857
4;m1;2;0;0;0;NA;0;1;BPV1;1;0.857142857
4;m1;3;0.2;4;1;0;0;1;BPV1;1;0.857142857
4;m1;4;0;0;0;NA;0;1;BPV1;1;0.857142857
4;m3;1;0.5;20;1;1;0;1;BVP2;1;1.333333333
4;m3;2;0;0;0;NA;0;1;BVP2;1;1.333333333
4;m3;3;0.5;4;1;0;0;1;BVP2;1;1.333333333
4;m3;4;0;0;0;NA;0;1;BVP2;1;1.333333333
4;m4;1;0;0;0;NA;0;1;BVP2;1;1.333333333
4;m4;2;0.5;4;1;0;0;1;BVP2;1;1.333333333
4;m4;3;0;0;0;NA;0;1;BVP2;1;1.333333333
4;m4;4;0.5;20;1;1;0;1;BVP2;1;1.333333333
4;m5;1;0;0;0;NA;0;1;BVP1;1;1.333333333
4;m5;2;0.2;4;1;0;0;1;BVP1;1;1.333333333
4;m5;3;0;0;0;NA;0;1;BVP1;1;1.333333333
4;m5;4;0.2;20;1;1;0;1;BVP1;1;1.333333333
4;m6;1;0.2;20;1;0;0;1;BPV2;1;0.857142857
4;m6;2;0;0;0;NA;0;1;BPV2;1;0.857142857
4;m6;3;0.5;20;1;1;0;1;BPV2;1;0.857142857
4;m6;4;0;0;0;NA;0;1;BPV2;1;0.857142857
4;m96;1;0.2;20;1;1;0;1;I;1;-0.476190476
4;m96;2;0;0;0;NA;0;1;I;1;-0.476190476
4;m96;3;0.5;4;1;0;0;1;I;1;-0.476190476
4;m96;4;0;0;0;NA;0;1;I;1;-0.476190476
4;m97;1;0;0;0;NA;0;1;C;1;1.333333333
4;m97;2;0.5;20;1;1;0;1;C;1;1.333333333
4;m97;3;0;0;0;NA;0;1;C;1;1.333333333
4;m97;4;0.2;4;1;0;0;1;C;1;1.333333333
4;m99;1;0;0;0;NA;0;1;BPV2;1;0.857142857
4;m99;2;0.5;20;1;1;0;1;BPV2;1;0.857142857
4;m99;3;0;0;0;NA;0;1;BPV2;1;0.857142857
4;m99;4;0.2;20;1;0;0;1;BPV2;1;0.857142857
5;m1;1;0;0;0;NA;0;1;C;1;1.333333333
5;m1;2;0.2;4;1;0;0;1;C;1;1.333333333
5;m1;3;0;0;0;NA;0;1;C;1;1.333333333
5;m1;4;0.5;20;1;1;0;1;C;1;1.333333333
5;m3;1;0;0;0;NA;0;1;I;1;-0.476190476
5;m3;2;0.2;20;1;1;0;1;I;1;-0.476190476
5;m3;3;0;0;0;NA;0;1;I;1;-0.476190476
5;m3;4;0.5;4;1;0;0;1;I;1;-0.476190476
5;m4;1;0.5;4;1;1;0;1;BPV1;1;0.857142857
5;m4;2;0;0;0;NA;0;1;BPV1;1;0.857142857
5;m4;3;0.2;4;1;0;0;1;BPV1;1;0.857142857
5;m4;4;0;0;0;NA;0;1;BPV1;1;0.857142857
5;m5;1;0.5;20;1;1;0;1;BPV2;1;0.857142857
5;m5;2;0;0;0;NA;0;1;BPV2;1;0.857142857
5;m5;3;0.2;20;1;0;0;1;BPV2;1;0.857142857
5;m5;4;0;0;0;NA;0;1;BPV2;1;0.857142857
5;m6;1;0;0;0;NA;0;1;BVP1;1;1.333333333
5;m6;2;0.2;20;1;1;0;1;BVP1;1;1.333333333
5;m6;3;0;0;0;NA;0;1;BVP1;1;1.333333333
5;m6;4;0.2;4;1;0;0;1;BVP1;1;1.333333333
5;m96;1;0;0;0;NA;0;1;BVP2;1;1.333333333
5;m96;2;0.5;20;1;1;0;1;BVP2;1;1.333333333
5;m96;3;0;0;0;NA;0;1;BVP2;1;1.333333333
5;m96;4;0.5;4;1;0;0;1;BVP2;1;1.333333333
5;m97;1;0.2;4;1;0;0;1;BPV1;1;0.857142857
5;m97;2;0;0;0;NA;0;1;BPV1;1;0.857142857
5;m97;3;0.5;4;1;1;0;1;BPV1;1;0.857142857
5;m97;4;0;0;0;NA;0;1;BPV1;1;0.857142857
5;m99;1;0.2;4;1;0;0;1;C;1;1.333333333
5;m99;2;0;0;0;NA;0;1;C;1;1.333333333
5;m99;3;0.5;20;1;1;0;1;C;1;1.333333333
5;m99;4;0;0;0;NA;0;1;C;1;1.333333333
6;m1;1;0;0;0;NA;0;1;C;1;1.333333333
6;m1;2;0.5;20;1;1;0;1;C;1;1.333333333
6;m1;3;0;0;0;NA;0;1;C;1;1.333333333
6;m1;4;0.2;4;1;0;0;1;C;1;1.333333333
6;m3;1;0;0;0;NA;0;1;I;1;-0.476190476
6;m3;2;0.5;4;1;0;0;1;I;1;-0.476190476
6;m3;3;0;0;0;NA;0;1;I;1;-0.476190476
6;m3;4;0.2;20;1;1;0;1;I;1;-0.476190476
6;m4;1;0.2;4;1;0;0;1;BPV1;1;0.857142857
6;m4;2;0;0;0;NA;0;1;BPV1;1;0.857142857
6;m4;3;0.5;4;1;1;0;1;BPV1;1;0.857142857
6;m4;4;0;0;0;NA;0;1;BPV1;1;0.857142857
6;m5;1;0.2;20;1;0;0;1;BPV2;1;0.857142857
6;m5;2;0;0;0;NA;0;1;BPV2;1;0.857142857
6;m5;3;0.5;20;1;1;0;1;BPV2;1;0.857142857
6;m5;4;0;0;0;NA;0;1;BPV2;1;0.857142857
6;m6;1;0;0;0;NA;0;1;BVP1;1;1.333333333
6;m6;2;0.2;4;1;0;0;1;BVP1;1;1.333333333
6;m6;3;0;0;0;NA;0;1;BVP1;1;1.333333333
6;m6;4;0.2;20;1;1;0;1;BVP1;1;1.333333333
6;m96;1;0;0;0;NA;0;1;BVP2;1;1.333333333
6;m96;2;0.5;4;1;0;0;1;BVP2;1;1.333333333
6;m96;3;0;0;0;NA;0;1;BVP2;1;1.333333333
6;m96;4;0.5;20;1;1;0;1;BVP2;1;1.333333333
6;m97;1;0.5;4;1;1;0;1;BPV1;1;0.857142857
6;m97;2;0;0;0;NA;0;1;BPV1;1;0.857142857
6;m97;3;0.2;4;1;0;0;1;BPV1;1;0.857142857
6;m97;4;0;0;0;NA;0;1;BPV1;1;0.857142857
6;m99;1;0.5;20;1;1;0;1;C;1;1.333333333
6;m99;2;0;0;0;NA;0;1;C;1;1.333333333
6;m99;3;0.2;4;1;0;0;1;C;1;1.333333333
6;m99;4;0;0;0;NA;0;1;C;1;1.333333333
7;m1;1;0;0;0;NA;0;1;BPV2;1;0.857142857
7;m1;2;0;0;0;NA;0;1;BPV2;1;0.857142857
7;m1;3;0.5;20;1;1;0;1;BPV2;1;0.857142857
7;m1;4;0.2;20;1;0;0;1;BPV2;1;0.857142857
7;m3;1;0;0;0;NA;0;1;C;1;1.333333333
7;m3;2;0;0;0;NA;0;1;C;1;1.333333333
7;m3;3;0.5;20;1;1;0;1;C;1;1.333333333
7;m3;4;0.2;4;1;0;0;1;C;1;1.333333333
7;m4;1;0;0;0;NA;0;1;C;1;1.333333333
7;m4;2;0;0;0;NA;0;1;C;1;1.333333333
7;m4;3;0.2;4;1;0;0;1;C;1;1.333333333
7;m4;4;0.5;20;1;1;0;1;C;1;1.333333333
7;m5;1;0;0;0;NA;0;1;BVP2;1;1.333333333
7;m5;2;0;0;0;NA;0;1;BVP2;1;1.333333333
7;m5;3;0.5;4;1;0;0;1;BVP2;1;1.333333333
7;m5;4;0.5;20;1;1;0;1;BVP2;1;1.333333333
7;m6;1;0.5;4;1;0;0;1;I;1;-0.476190476
7;m6;2;0.2;20;1;1;0;1;I;1;-0.476190476
7;m6;3;0;0;0;NA;0;1;I;1;-0.476190476
7;m6;4;0;0;0;NA;0;1;I;1;-0.476190476
7;m96;1;0.5;4;1;1;0;1;BPV1;1;0.857142857
7;m96;2;0.2;4;1;0;0;1;BPV1;1;0.857142857
7;m96;3;0;0;0;NA;0;1;BPV1;1;0.857142857
7;m96;4;0;0;0;NA;0;1;BPV1;1;0.857142857
7;m97;1;0.2;4;1;0;0;1;BVP1;1;1.333333333
7;m97;2;0.2;20;1;1;0;1;BVP1;1;1.333333333
7;m97;3;0;0;0;NA;0;1;BVP1;1;1.333333333
7;m97;4;0;0;0;NA;0;1;BVP1;1;1.333333333
7;m99;1;0.2;20;1;1;0;1;I;1;-0.476190476
7;m99;2;0.5;4;1;0;0;1;I;1;-0.476190476
7;m99;3;0;0;0;NA;0;1;I;1;-0.476190476
7;m99;4;0;0;0;NA;0;1;I;1;-0.476190476
8;m1;1;0;0;0;NA;0;1;BPV2;1;0.857142857
8;m1;2;0;0;0;NA;0;1;BPV2;1;0.857142857
8;m1;3;0.2;20;1;0;0;1;BPV2;1;0.857142857
8;m1;4;0.5;20;1;1;0;1;BPV2;1;0.857142857
8;m3;1;0;0;0;NA;0;1;C;1;1.333333333
8;m3;2;0;0;0;NA;0;1;C;1;1.333333333
8;m3;3;0.2;4;1;0;0;1;C;1;1.333333333
8;m3;4;0.5;20;1;1;0;1;C;1;1.333333333
