day;IdLabel;loc;prob;volm;rel;prof;discard;cohort;cond;experiment;rint
8;m4;1;0;0;0;NA;0;1;C;1;1.333333333
8;m4;2;0;0;0;NA;0;1;C;1;1.333333333
8;m4;3;0.5;20;1;1;0;1;C;1;1.333333333
8;m4;4;0.2;4;1;0;0;1;C;1;1.333333333
8;m5;1;0;0;0;NA;0;1;BVP2;1;1.333333333
8;m5;2;0;0;0;NA;0;1;BVP2;1;1.333333333
8;m5;3;0.5;20;1;1;0;1;BVP2;1;1.333333333
8;m5;4;0.5;4;1;0;0;1;BVP2;1;1.333333333
8;m6;1;0.2;20;1;1;0;1;I;1;-0.476190476
8;m6;2;0.5;4;1;0;0;1;I;1;-0.476190476
8;m6;3;0;0;0;NA;0;1;I;1;-0.476190476
8;m6;4;0;0;0;NA;0;1;I;1;-0.476190476
8;m96;1;0.2;4;1;0;0;1;BPV1;1;0.857142857
8;m96;2;0.5;4;1;1;0;1;BPV1;1;0.857142857
8;m96;3;0;0;0;NA;0;1;BPV1;1;0.857142857
8;m96;4;0;0;0;NA;0;1;BPV1;1;0.857142857
8;m97;1;0.2;20;1;1;0;1;BVP1;1;1.333333333
8;m97;2;0.2;4;1;0;0;1;BVP1;1;1.333333333
8;m97;3;0;0;0;NA;0;1;BVP1;1;1.333333333
8;m97;4;0;0;0;NA;0;1;BVP1;1;1.333333333
8;m99;1;0.5;4;1;0;0;1;I;1;-0.476190476
8;m99;2;0.2;20;1;1;0;1;I;1;-0.476190476
8;m99;3;0;0;0;NA;0;1;I;1;-0.476190476
8;m99;4;0;0;0;NA;0;1;I;1;-0.476190476
9;m1;1;0.5;4;1;0;0;1;I;1;-0.476190476
9;m1;2;0;0;0;NA;0;1;I;1;-0.476190476
9;m1;3;0;0;0;NA;0;1;I;1;-0.476190476
9;m1;4;0.2;20;1;1;0;1;I;1;-0.476190476
9;m3;1;0.2;20;1;1;0;1;BVP1;1;1.333333333
9;m3;2;0;0;0;NA;0;1;BVP1;1;1.333333333
9;m3;3;0;0;0;NA;0;1;BVP1;1;1.333333333
9;m3;4;0.2;4;1;0;0;1;BVP1;1;1.333333333
9;m4;1;0;0;0;NA;0;1;BVP1;1;1.333333333
9;m4;2;0.2;4;1;0;0;1;BVP1;1;1.333333333
9;m4;3;0.2;20;1;1;0;1;BVP1;1;1.333333333
9;m4;4;0;0;0;NA;0;1;BVP1;1;1.333333333
9;m5;1;0;0;0;NA;0;1;C;1;1.333333333
9;m5;2;0.2;4;1;0;0;1;C;1;1.333333333
9;m5;3;0.5;20;1;1;0;1;C;1;1.333333333
9;m5;4;0;0;0;NA;0;1;C;1;1.333333333
9;m6;1;0;0;0;NA;0;1;BPV1;1;0.857142857
9;m6;2;0.5;4;1;1;0;1;BPV1;1;0.857142857
9;m6;3;0.2;4;1;0;0;1;BPV1;1;0.857142857
9;m6;4;0;0;0;NA;0;1;BPV1;1;0.857142857
9;m96;1;0;0;0;NA;0;1;BPV2;1;0.857142857
9;m96;2;0.5;20;1;1;0;1;BPV2;1;0.857142857
9;m96;3;0.2;20;1;0;0;1;BPV2;1;0.857142857
9;m96;4;0;0;0;NA;0;1;BPV2;1;0.857142857
9;m97;1;0.5;4;1;0;0;1;BVP2;1;1.333333333
9;m97;2;0;0;0;NA;0;1;BVP2;1;1.333333333
9;m97;3;0;0;0;NA;0;1;BVP2;1;1.333333333
9;m97;4;0.5;20;1;1;0;1;BVP2;1;1.333333333
9;m99;1;0.2;4;1;0;0;1;BPV1;1;0.857142857
