"cond";"par";"gamma";"performance";"pred_perf";"obs_perf";"deviance"
"BPV1";0.1;1.6;0.526;0.545267622193676;0.74;0.037920698966105
"BPV1";0.1;1.65;0.557;0.545412786976676;0.74;0.0378641834721844
"BPV1";0.1;1.7;0.528;0.545467469496991;0.74;0.037842905423904
"BPV1";0.1;1.75;0.553;0.54545356814514;0.74;0.0378483141474575
"BPV1";0.1;1.8;0.542;0.545375554689844;0.74;0.0378786747122858
"BPV1";0.1;1.85;0.534;0.545219860595338;0.74;0.0379393027064994
"BPV1";0.1;1.9;0.54;0.544981323795412;0.74;0.0380322840685899
"BPV1";0.1;1.95;0.54;0.544654782223855;0.74;0.0381597541080095
"BPV1";0.1;2;0.562;0.544235073814456;0.74;0.0383239063244314
"BPV1";0.15;0.05;0.98;0.867939190161409;0.74;0.0163684363791572
"BPV1";0.15;0.1;0.826;0.82029948766717;0.74;0.00644800771960993
"BPV1";0.15;0.15;0.759;0.775988882257258;0.74;0.00129519964612678
"BPV1";0.15;0.2;0.663;0.735267708120837;0.74;2.23945864295923e-05
"BPV1";0.15;0.25;0.65;0.69839629944707;0.74;0.00173086789969788
"BPV1";0.15;0.3;0.667;0.66554373205715;0.74;0.00554373583597754
"BPV1";0.15;0.35;0.581;0.636483737174413;0.74;0.010715616669376
"BPV1";0.15;0.4;0.592;0.610883632091238;0.74;0.0166710364619507
"BPV1";0.15;0.45;0.574;0.588410734100003;0.74;0.0229793055360999
"BPV1";0.15;0.5;0.567;0.568732360493086;0.74;0.0293326043422703
"BPV1";0.15;0.55;0.542;0.553832078745708;0.74;0.0346584949041442
"BPV1";0.15;0.6;0.536;0.544641761139119;0.74;0.0381648414908252
"BPV1";0.15;0.65;0.54;0.539251182174735;0.74;0.0403000878582414
"BPV1";0.15;0.7;0.505;0.535750116353976;0.74;0.0417180149694144
"BPV1";0.15;0.75;0.536;0.532228338178258;0.74;0.0431690634561681
"BPV1";0.15;0.8;0.55;0.530255444058999;0.74;0.0439927787468877
"BPV1";0.15;0.85;0.558;0.531587128025246;0.74;0.0434359252047653
"BPV1";0.15;0.9;0.527;0.534592311004864;0.74;0.0421923186983227
"BPV1";0.15;0.95;0.547;0.537639913925718;0.74;0.0409496044359906
"BPV1";0.15;1;0.53;0.539098857715676;0.74;0.0403612689711463
"BPV1";0.15;1.05;0.537;0.539693825703225;0.74;0.04012256346141
"BPV1";0.15;1.1;0.551;0.540955936982199;0.74;0.0396185390226344
"BPV1";0.15;1.15;0.557;0.542463766128478;0.74;0.0390205636921446
"BPV1";0.15;1.2;0.53;0.543795887717943;0.74;0.0384960536763902
"BPV1";0.15;1.25;0.537;0.544530876326473;0.74;0.0382081783096965
"BPV1";0.15;1.3;0.555;0.54463297975182;0.74;0.0381682726006527
"BPV1";0.15;1.35;0.543;0.544477115200613;0.74;0.0382291984802742
"BPV1";0.15;1.4;0.549;0.544257861362055;0.74;0.0383149848385567
"BPV1";0.15;1.45;0.547;0.544169796925344;0.74;0.0383494684362609
"BPV1";0.15;1.5;0.57;0.544407500579684;0.74;0.0382564258294862
"BPV1";0.15;1.55;0.532;0.544876645366744;0.74;0.0380731235233356
"BPV1";0.15;1.6;0.507;0.545377152146825;0.74;0.03787805290648
"BPV1";0.15;1.65;0.544;0.54594497133708;0.74;0.0376573541493666
"BPV1";0.15;1.7;0.548;0.54661605335466;0.74;0.0373973508201277
"BPV1";0.15;1.75;0.57;0.547426348616715;0.74;0.0370846112070909
"BPV1";0.15;1.8;0.535;0.548384649394295;0.74;0.0367164425877473
"BPV1";0.15;1.85;0.549;0.54947013320305;0.74;0.0363016301416633
"BPV1";0.15;1.9;0.548;0.550674328327038;0.74;0.0358442099544182
"BPV1";0.15;1.95;0.544;0.551988763050313;0.74;0.0353482252193513
"BPV1";0.15;2;0.567;0.553404965656932;0.74;0.0348177068414908
"BPV1";0.2;0.05;0.998;0.925456118318077;0.74;0.0343939718216086
"BPV1";0.2;0.1;0.924;0.873626459507951;0.74;0.01785603068063
"BPV1";0.2;0.15;0.812;0.825290965866412;0.74;0.0072745488584255
"BPV1";0.2;0.2;0.745;0.780695953478163;0.74;0.00165616062949684
