"pset";"nrep";"Choice_type";"cond";"performance"
1;1;1;"BVP1";0.655555555555556
1;2;1;"BVP1";0.822222222222222
1;3;1;"BVP1";0.766666666666667
1;4;1;"BVP1";0.866666666666667
1;5;1;"BVP1";0.822222222222222
1;6;1;"BVP1";0.777777777777778
1;7;1;"BVP1";0.877777777777778
1;8;1;"BVP1";0.9
1;9;1;"BVP1";0.811111111111111
1;10;1;"BVP1";0.822222222222222
1;11;1;"BVP1";0.822222222222222
1;12;1;"BVP1";0.133333333333333
1;13;1;"BVP1";0.888888888888889
1;14;1;"BVP1";0.833333333333333
1;15;1;"BVP1";0.833333333333333
1;16;1;"BVP1";0.844444444444444
1;17;1;"BVP1";0.777777777777778
1;18;1;"BVP1";0.866666666666667
1;19;1;"BVP1";0.8
1;20;1;"BVP1";0.844444444444444
1;21;1;"BVP1";0.911111111111111
1;22;1;"BVP1";0.633333333333333
1;23;1;"BVP1";0.8
1;24;1;"BVP1";0.888888888888889
1;25;1;"BVP1";0.855555555555555
1;26;1;"BVP1";0.833333333333333
1;27;1;"BVP1";0.922222222222222
1;28;1;"BVP1";0.911111111111111
1;29;1;"BVP1";0.822222222222222
1;30;1;"BVP1";0.888888888888889
1;31;1;"BVP1";0.833333333333333
1;32;1;"BVP1";0.766666666666667
1;33;1;"BVP1";0.7
1;34;1;"BVP1";0.888888888888889
1;35;1;"BVP1";0.788888888888889
1;36;1;"BVP1";0.9
1;37;1;"BVP1";0.744444444444445
1;38;1;"BVP1";0.711111111111111
1;39;1;"BVP1";0.722222222222222
1;40;1;"BVP1";0.888888888888889
1;41;1;"BVP1";0.744444444444444
1;42;1;"BVP1";0.822222222222222
1;43;1;"BVP1";0.8
1;44;1;"BVP1";0.8
1;45;1;"BVP1";0.0888888888888888
1;46;1;"BVP1";0.822222222222222
1;47;1;"BVP1";0.755555555555556
1;48;1;"BVP1";0.888888888888889
1;49;1;"BVP1";0.844444444444444
1;50;1;"BVP1";0.877777777777778
1;51;1;"BVP1";0.877777777777778
1;52;1;"BVP1";0.8
1;53;1;"BVP1";0.755555555555556
1;54;1;"BVP1";0.8
1;55;1;"BVP1";0.777777777777778
1;56;1;"BVP1";0.788888888888889
1;57;1;"BVP1";0.888888888888889
1;58;1;"BVP1";0.866666666666667
1;59;1;"BVP1";0.8
1;60;1;"BVP1";0.777777777777778
1;61;1;"BVP1";0.844444444444445
1;62;1;"BVP1";0.811111111111111
1;63;1;"BVP1";0.911111111111111
1;64;1;"BVP1";0.833333333333334
1;65;1;"BVP1";0.677777777777778
1;66;1;"BVP1";0.8
1;67;1;"BVP1";0.244444444444444
1;68;1;"BVP1";0.866666666666667
1;69;1;"BVP1";0.877777777777778
1;70;1;"BVP1";0.811111111111111
1;71;1;"BVP1";0.777777777777778
1;72;1;"BVP1";0.811111111111111
1;73;1;"BVP1";0.9
1;74;1;"BVP1";0.0666666666666667
1;75;1;"BVP1";0.666666666666666
1;76;1;"BVP1";0.733333333333333
1;77;1;"BVP1";0.655555555555555
1;78;1;"BVP1";0.633333333333333
1;79;1;"BVP1";0.855555555555556
1;80;1;"BVP1";0.466666666666667
1;81;1;"BVP1";0.844444444444444
1;82;1;"BVP1";0.877777777777778
1;83;1;"BVP1";0.844444444444444
1;84;1;"BVP1";0.833333333333333
1;85;1;"BVP1";0.811111111111111
1;86;1;"BVP1";0.877777777777778
1;87;1;"BVP1";0.866666666666666
1;88;1;"BVP1";0.833333333333334
1;89;1;"BVP1";0.877777777777778
1;90;1;"BVP1";0.911111111111111
1;91;1;"BVP1";0.855555555555556
1;92;1;"BVP1";0.888888888888889
1;93;1;"BVP1";0.922222222222222
1;94;1;"BVP1";0.855555555555556
1;95;1;"BVP1";0.9
1;96;1;"BVP1";0.877777777777778
1;97;1;"BVP1";0.822222222222222
1;98;1;"BVP1";0.788888888888889
1;99;1;"BVP1";0.788888888888889
1;100;1;"BVP1";0.744444444444445
2;1;1;"BVP2";0.9
2;2;1;"BVP2";0.811111111111111
2;3;1;"BVP2";0.822222222222222
2;4;1;"BVP2";0.844444444444445
2;5;1;"BVP2";0.733333333333333
2;6;1;"BVP2";0.822222222222222
2;7;1;"BVP2";0.877777777777778
2;8;1;"BVP2";0.788888888888889
2;9;1;"BVP2";0.811111111111111
2;10;1;"BVP2";0.811111111111111
2;11;1;"BVP2";0.788888888888889
2;12;1;"BVP2";0.866666666666667
2;13;1;"BVP2";0.888888888888889
2;14;1;"BVP2";0.788888888888889
2;15;1;"BVP2";0.822222222222222
2;16;1;"BVP2";0.744444444444445
2;17;1;"BVP2";0.777777777777778
2;18;1;"BVP2";0.866666666666667
2;19;1;"BVP2";0.777777777777778
2;20;1;"BVP2";0.844444444444444
2;21;1;"BVP2";0.822222222222222
2;22;1;"BVP2";0.777777777777778
2;23;1;"BVP2";0.811111111111111
2;24;1;"BVP2";0.822222222222222
2;25;1;"BVP2";0.788888888888889
2;26;1;"BVP2";0.8
2;27;1;"BVP2";0.766666666666667
2;28;1;"BVP2";0.811111111111111
2;29;1;"BVP2";0.788888888888889
2;30;1;"BVP2";0.766666666666667
2;31;1;"BVP2";0.866666666666666
2;32;1;"BVP2";0.833333333333333
2;33;1;"BVP2";0.833333333333333
2;34;1;"BVP2";0.788888888888889
2;35;1;"BVP2";0.855555555555556
2;36;1;"BVP2";0.877777777777778
2;37;1;"BVP2";0.811111111111111
2;38;1;"BVP2";0.8
2;39;1;"BVP2";0.788888888888889
2;40;1;"BVP2";0.833333333333333
2;41;1;"BVP2";0.8
2;42;1;"BVP2";0.888888888888889
2;43;1;"BVP2";0.822222222222222
2;44;1;"BVP2";0.833333333333333
2;45;1;"BVP2";0.877777777777778
2;46;1;"BVP2";0.855555555555556
2;47;1;"BVP2";0.811111111111111
2;48;1;"BVP2";0.755555555555555
2;49;1;"BVP2";0.8
2;50;1;"BVP2";0.755555555555555
2;51;1;"BVP2";0.822222222222222
2;52;1;"BVP2";0.822222222222222
2;53;1;"BVP2";0.811111111111111
2;54;1;"BVP2";0.8
2;55;1;"BVP2";0.844444444444444
2;56;1;"BVP2";0.788888888888889
2;57;1;"BVP2";0.866666666666667
2;58;1;"BVP2";0.833333333333333
2;59;1;"BVP2";0.833333333333333
2;60;1;"BVP2";0.833333333333333
2;61;1;"BVP2";0.766666666666667
2;62;1;"BVP2";0.833333333333333
