"cond";"par";"gamma";"performance";"pred_perf";"obs_perf";"deviance"
"BPV1";0.05;1.7;0.613;0.614214381104557;0.74;0.0158220219209097
"BPV1";0.05;1.75;0.622;0.611575908196027;0.74;0.0164927473556752
"BPV1";0.05;1.8;0.628;0.609173017690698;0.74;0.0171156993001585
"BPV1";0.05;1.85;0.605;0.607052290955289;0.74;0.017675093340237
"BPV1";0.05;1.9;0.606;0.605229263631982;0.74;0.0181631513811777
"BPV1";0.05;1.95;0.604;0.603719471362957;0.74;0.0185723824855919
"BPV1";0.05;2;0.586;0.602538449790393;0.74;0.0188956777860283
"BPV1";0.1;0.05;0.906;0.9376800049683;0.74;0.0390773843642672
"BPV1";0.1;0.1;0.914;0.921851099598431;0.74;0.0330698224251583
"BPV1";0.1;0.15;0.909;0.906233941882305;0.74;0.0276337234337296
"BPV1";0.1;0.2;0.904;0.890753658745153;0.74;0.0227266656250501
"BPV1";0.1;0.25;0.904;0.875335377112204;0.74;0.0183156642981026
"BPV1";0.1;0.3;0.881;0.859935448521183;0.74;0.0143845118119773
"BPV1";0.1;0.35;0.856;0.844622196884159;0.74;0.0109458040808676
"BPV1";0.1;0.4;0.815;0.829488707687882;0.74;0.00800822880364713
"BPV1";0.1;0.45;0.807;0.814628066419101;0.74;0.00556934829745375
"BPV1";0.1;0.5;0.818;0.800133358564566;0.74;0.00361602081225464
"BPV1";0.1;0.55;0.8;0.785420185314118;0.74;0.00206299323396882
"BPV1";0.1;0.6;0.772;0.770217207110301;0.74;0.00091307960554685
"BPV1";0.1;0.65;0.767;0.755087098318918;0.74;0.000227620535684691
"BPV1";0.1;0.7;0.722;0.740592533305769;0.74;3.51095718445835e-07
"BPV1";0.1;0.75;0.709;0.727296186436658;0.74;0.000161386879052162
"BPV1";0.1;0.8;0.708;0.71521193340912;0.74;0.000614448245313888
"BPV1";0.1;0.85;0.718;0.703949798165492;0.74;0.00129961705230877
"BPV1";0.1;0.9;0.682;0.693466677438771;0.74;0.00216535010858736
"BPV1";0.1;0.95;0.684;0.683719467961956;0.74;0.00316749828648524
"BPV1";0.1;1;0.682;0.674665066468046;0.74;0.00426865353962484
"BPV1";0.1;1.05;0.678;0.666874988508886;0.74;0.0053472673055756
"BPV1";0.1;1.1;0.644;0.660524212169681;0.74;0.00631640085124993
"BPV1";0.1;1.15;0.643;0.65497482798347;0.74;0.0072292798764405
"BPV1";0.1;1.2;0.672;0.649588926483292;0.74;0.00817416221444351
"BPV1";0.1;1.25;0.627;0.643728598202186;0.74;0.00926818280411608
"BPV1";0.1;1.3;0.632;0.637632042273665;0.74;0.0104791987690607
"BPV1";0.1;1.35;0.66;0.631886224655933;0.74;0.0116885884191473
"BPV1";0.1;1.4;0.617;0.626376386119069;0.74;0.0129103256313628
"BPV1";0.1;1.45;0.618;0.620987767433149;0.74;0.0141639115005461
"BPV1";0.1;1.5;0.656;0.615605609368252;0.74;0.015473964420644
"BPV1";0.1;1.55;0.596;0.610280285974368;0.74;0.0168272042068919
"BPV1";0.1;1.6;0.581;0.605126753709895;0.74;0.0181907925648313
"BPV1";0.1;1.65;0.606;0.60012712695752;0.74;0.0195644206131577
"BPV1";0.1;1.7;0.59;0.595263520099928;0.74;0.0209486486138638
"BPV1";0.1;1.75;0.567;0.590518047519806;0.74;0.0223448541172909
"BPV1";0.1;1.8;0.611;0.585894404367852;0.74;0.0237485346051392
"BPV1";0.1;1.85;0.62;0.581409258805813;0.74;0.0251510231925215
"BPV1";0.1;1.9;0.549;0.577064184732952;0.74;0.0265480798967376
"BPV1";0.1;1.95;0.548;0.572860756048529;0.74;0.0279355268686695
"BPV1";0.1;2;0.587;0.568800546651805;0.74;0.0293092528267209
"BPV1";0.15;0.05;0.87;0.894022721554912;0.74;0.023722998755182
"BPV1";0.15;0.1;0.854;0.87877408009343;0.74;0.0192582453057777
"BPV1";0.15;0.15;0.862;0.86379489933892;0.74;0.0153251771023333
"BPV1";0.15;0.2;0.864;0.84900697178216;0.74;0.0118825198971167
"BPV1";0.15;0.25;0.852;0.83433208991393;0.74;0.0088985431875297
"BPV1";0.15;0.3;0.861;0.819739619017407;0.74;0.00635840684104118
"BPV1";0.15;0.35;0.821;0.805310295710102;0.74;0.004265434725741
"BPV1";0.15;0.4;0.795;0.791132969484291;0.74;0.00261458056828141
"BPV1";0.15;0.45;0.794;0.777296489832247;0.74;0.00139102815380693
"BPV1";0.15;0.5;0.774;0.763889706246246;0.74;0.000570718064531929
"BPV1";0.15;0.55;0.749;0.75022616339518;0.74;0.000104574417784929
"BPV1";0.15;0.6;0.699;0.735995581540054;0.74;1.60353672023557e-05
"BPV1";0.15;0.65;0.719;0.721851073561308;0.74;0.000329383530877063
"BPV1";0.15;0.7;0.718;0.708445752339383;0.74;0.000995670545427573
"BPV1";0.15;0.75;0.69;0.69643273075472;0.74;0.00189810694949076
"BPV1";0.15;0.8;0.69;0.686133605911199;0.74;0.00290158841212999
"BPV1";0.15;0.85;0.665;0.677178491353981;0.74;0.00394654194856184
"BPV1";0.15;0.9;0.644;0.669183274625424;0.74;0.00501500859277811
"BPV1";0.15;0.95;0.69;0.661763843267887;0.74;0.0061208962202117
"BPV1";0.15;1;0.647;0.65453608482373;0.74;0.00730408079725674
"BPV1";0.15;1.05;0.66;0.64782317604027;0.74;0.00849656687530306
"BPV1";0.15;1.1;0.665;0.642024455032933;0.74;0.0095992074115938
"BPV1";0.15;1.15;0.618;0.636870051396236;0.74;0.010635786299015
"BPV1";0.15;1.2;0.63;0.632090094724697;0.74;0.0116445476565249
"BPV1";0.15;1.25;0.639;0.627414714612833;0.74;0.0126754464857099
"BPV1";0.15;1.3;0.615;0.623143340597795;0.74;0.0136554788466429
"BPV1";0.15;1.35;0.612;0.619549763355909;0.74;0.0145082595076176
"BPV1";0.15;1.4;0.636;0.61632565419045;0.74;0.0152953438114201
"BPV1";0.15;1.45;0.593;0.613162684404699;0.74;0.016087704627422
"BPV1";0.15;1.5;0.591;0.609752525301932;0.74;0.0169644046652239
"BPV1";0.15;1.55;0.615;0.60622959834939;0.74;0.0178945203577655
"BPV1";0.15;1.6;0.625;0.602904252872678;0.74;0.0187952438803987
"BPV1";0.15;1.65;0.578;0.599732051962618;0.74;0.0196750972466178
"BPV1";0.15;1.7;0.608;0.596668558710034;0.74;0.0205439020622589
"BPV1";0.15;1.75;0.618;0.593669336205751;0.74;0.0214126631664656
"BPV1";0.15;1.8;0.604;0.590725126136215;0.74;0.0222829879670488
"BPV1";0.15;1.85;0.593;0.587862026539573;0.74;0.0231459629686456
"BPV1";0.15;1.9;0.572;0.585088635034194;0.74;0.0239975309955692
"BPV1";0.15;1.95;0.585;0.582413549238448;0.74;0.024833489463623
"BPV1";0.15;2;0.565;0.579845366770706;0.74;0.0256495065448095
"BPV1";0.2;0.05;0.817;0.837222923527878;0.74;0.00945229685930759
"BPV1";0.2;0.1;0.815;0.82646783424443;0.74;0.00747668635892217
"BPV1";0.2;0.15;0.831;0.815750327786902;0.74;0.00573811215982316
"BPV1";0.2;0.2;0.813;0.805025894473498;0.74;0.00422836695207846
"BPV1";0.2;0.25;0.812;0.794250024622418;0.74;0.00294306517153296
"BPV1";0.2;0.3;0.782;0.783394797003415;0.74;0.00188310840696756
"BPV1";0.2;0.35;0.786;0.772499355390836;0.74;0.00105620810081983
"BPV1";0.2;0.4;0.757;0.761619787609779;0.74;0.000467415216291959
"BPV1";0.2;0.45;0.746;0.750812181485342;0.74;0.000116903268471982
"BPV1";0.2;0.5;0.744;0.740132624842623;0.74;1.75893488808631e-08
"BPV1";0.2;0.55;0.751;0.729205527767801;0.74;0.000116520630771722
"BPV1";0.2;0.6;0.722;0.717860185872919;0.74;0.00049017136958171
"BPV1";0.2;0.65;0.691;0.706460015271872;0.74;0.00112493057556303
"BPV1";0.2;0.7;0.663;0.695368432078557;0.74;0.00199197685512635
"BPV1";0.2;0.75;0.695;0.684948852406869;0.74;0.00303062885132067
"BPV1";0.2;0.8;0.697;0.675061637622357;0.74;0.0042169909082901
"BPV1";0.2;0.85;0.676;0.665413488477859;0.74;0.00556314770104247
"BPV1";0.2;0.9;0.647;0.656137330168204;0.74;0.00703294739131679
"BPV1";0.2;0.95;0.644;0.647366087888221;0.74;0.00858104167313271
"BPV1";0.2;1;0.635;0.63923268683274;0.74;0.0101540514029487
"BPV1";0.2;1.05;0.64;0.631761461193958;0.74;0.0117155812828671
"BPV1";0.2;1.1;0.614;0.624847982733417;0.74;0.0132599870805635
"BPV1";0.2;1.15;0.598;0.618432032999957;0.74;0.0147787706005235
"BPV1";0.2;1.2;0.626;0.612453393542421;0.74;0.0162681368188444
"BPV1";0.2;1.25;0.621;0.606851845909651;0.74;0.0177284309376674
"BPV1";0.2;1.3;0.599;0.601570321469823;0.74;0.0191627758979682
"BPV1";0.2;1.35;0.593;0.596648527390232;0.74;0.020549644699389
"BPV1";0.2;1.4;0.612;0.592171408918395;0.74;0.0218532923411723
