"pset";"nrep";"Choice_type";"cond";"performance"
1;1;1;"VP1";0.833333333333333
1;2;1;"VP1";0.811111111111111
1;3;1;"VP1";0.788888888888889
1;4;1;"VP1";0.7
1;5;1;"VP1";0.844444444444444
1;6;1;"VP1";0.111111111111111
1;7;1;"VP1";0.855555555555556
1;8;1;"VP1";0.8
1;9;1;"VP1";0.788888888888889
1;10;1;"VP1";0.1
1;11;1;"VP1";0.877777777777778
1;12;1;"VP1";0.844444444444444
1;13;1;"VP1";0.744444444444444
1;14;1;"VP1";0.866666666666667
1;15;1;"VP1";0.8
1;16;1;"VP1";0.888888888888889
1;17;1;"VP1";0.888888888888889
1;18;1;"VP1";0.0333333333333333
1;19;1;"VP1";0.855555555555556
1;20;1;"VP1";0.844444444444444
1;21;1;"VP1";0.788888888888889
1;22;1;"VP1";0.811111111111111
1;23;1;"VP1";0.922222222222222
1;24;1;"VP1";0.844444444444444
1;25;1;"VP1";0.877777777777778
1;26;1;"VP1";0.844444444444444
1;27;1;"VP1";0.655555555555556
1;28;1;"VP1";0.622222222222222
1;29;1;"VP1";0.788888888888889
1;30;1;"VP1";0.8
1;31;1;"VP1";0.688888888888889
1;32;1;"VP1";0.877777777777778
1;33;1;"VP1";0.8
1;34;1;"VP1";0.777777777777778
1;35;1;"VP1";0.822222222222222
1;36;1;"VP1";0.833333333333333
1;37;1;"VP1";0.788888888888889
1;38;1;"VP1";0.777777777777778
1;39;1;"VP1";0.855555555555556
1;40;1;"VP1";0.8
1;41;1;"VP1";0.855555555555556
1;42;1;"VP1";0.844444444444444
1;43;1;"VP1";0.788888888888889
1;44;1;"VP1";0.822222222222222
1;45;1;"VP1";0.8
1;46;1;"VP1";0.833333333333333
1;47;1;"VP1";0.822222222222222
1;48;1;"VP1";0.844444444444444
1;49;1;"VP1";0.8
1;50;1;"VP1";0.822222222222222
1;51;1;"VP1";0.877777777777778
1;52;1;"VP1";0.8
1;53;1;"VP1";0.822222222222222
1;54;1;"VP1";0.855555555555556
1;55;1;"VP1";0.844444444444444
1;56;1;"VP1";0.333333333333333
1;57;1;"VP1";0.844444444444444
1;58;1;"VP1";0.777777777777778
1;59;1;"VP1";0.844444444444444
1;60;1;"VP1";0.777777777777778
1;61;1;"VP1";0.6
1;62;1;"VP1";0.777777777777778
1;63;1;"VP1";0.822222222222222
1;64;1;"VP1";0.9
1;65;1;"VP1";0.866666666666667
1;66;1;"VP1";0.822222222222222
1;67;1;"VP1";0.811111111111111
1;68;1;"VP1";0.755555555555556
1;69;1;"VP1";0.888888888888889
1;70;1;"VP1";0.7
1;71;1;"VP1";0.855555555555556
1;72;1;"VP1";0.888888888888889
1;73;1;"VP1";0.777777777777778
1;74;1;"VP1";0.811111111111111
1;75;1;"VP1";0.877777777777778
1;76;1;"VP1";0.811111111111111
1;77;1;"VP1";0.522222222222222
1;78;1;"VP1";0.811111111111111
1;79;1;"VP1";0.955555555555556
1;80;1;"VP1";0.755555555555556
1;81;1;"VP1";0.888888888888889
1;82;1;"VP1";0.677777777777778
1;83;1;"VP1";0.822222222222222
1;84;1;"VP1";0.888888888888889
1;85;1;"VP1";0.488888888888889
1;86;1;"VP1";0.777777777777778
1;87;1;"VP1";0.9
1;88;1;"VP1";0.888888888888889
1;89;1;"VP1";0.822222222222222
1;90;1;"VP1";0.733333333333333
1;91;1;"VP1";0.744444444444444
1;92;1;"VP1";0.844444444444444
1;93;1;"VP1";0.0666666666666667
1;94;1;"VP1";0.788888888888889
1;95;1;"VP1";0.833333333333333
1;96;1;"VP1";0.855555555555556
1;97;1;"VP1";0.722222222222222
1;98;1;"VP1";0.755555555555556
1;99;1;"VP1";0.755555555555556
1;100;1;"VP1";0.8
2;1;1;"VP2";0.8
2;2;1;"VP2";0.811111111111111
2;3;1;"VP2";0.777777777777778
2;4;1;"VP2";0.888888888888889
2;5;1;"VP2";0.833333333333333
2;6;1;"VP2";0.777777777777778
2;7;1;"VP2";0.822222222222222
2;8;1;"VP2";0.811111111111111
2;9;1;"VP2";0.833333333333333
2;10;1;"VP2";0.844444444444444
2;11;1;"VP2";0.822222222222222
2;12;1;"VP2";0.744444444444444
2;13;1;"VP2";0.866666666666667
2;14;1;"VP2";0.822222222222222
2;15;1;"VP2";0.855555555555556
2;16;1;"VP2";0.811111111111111
2;17;1;"VP2";0.8
2;18;1;"VP2";0.833333333333333
2;19;1;"VP2";0.766666666666667
2;20;1;"VP2";0.933333333333333
2;21;1;"VP2";0.822222222222222
2;22;1;"VP2";0.855555555555556
2;23;1;"VP2";0.744444444444444
2;24;1;"VP2";0.877777777777778
2;25;1;"VP2";0.866666666666667
2;26;1;"VP2";0.822222222222222
2;27;1;"VP2";0.788888888888889
2;28;1;"VP2";0.788888888888889
2;29;1;"VP2";0.788888888888889
2;30;1;"VP2";0.833333333333333
2;31;1;"VP2";0.811111111111111
2;32;1;"VP2";0.822222222222222
2;33;1;"VP2";0.733333333333333
2;34;1;"VP2";0.666666666666667
2;35;1;"VP2";0.9
2;36;1;"VP2";0.877777777777778
2;37;1;"VP2";0.866666666666667
2;38;1;"VP2";0.866666666666667
2;39;1;"VP2";0.811111111111111
2;40;1;"VP2";0.855555555555556
2;41;1;"VP2";0.777777777777778
2;42;1;"VP2";0.788888888888889
2;43;1;"VP2";0.877777777777778
2;44;1;"VP2";0.888888888888889
2;45;1;"VP2";0.711111111111111
2;46;1;"VP2";0.788888888888889
2;47;1;"VP2";0.855555555555556
2;48;1;"VP2";0.822222222222222
2;49;1;"VP2";0.866666666666667
2;50;1;"VP2";0.822222222222222
2;51;1;"VP2";0.822222222222222
2;52;1;"VP2";0.866666666666667
2;53;1;"VP2";0.833333333333333
2;54;1;"VP2";0.766666666666667
2;55;1;"VP2";0.7
2;56;1;"VP2";0.822222222222222
2;57;1;"VP2";0.822222222222222
2;58;1;"VP2";0.811111111111111
2;59;1;"VP2";0.855555555555556
2;60;1;"VP2";0.9
2;61;1;"VP2";0.755555555555556
2;62;1;"VP2";0.822222222222222
2;63;1;"VP2";0.8
2;64;1;"VP2";0.744444444444444
2;65;1;"VP2";0.8
2;66;1;"VP2";0.788888888888889
2;67;1;"VP2";0.788888888888889
2;68;1;"VP2";0.666666666666667
2;69;1;"VP2";0.788888888888889
2;70;1;"VP2";0.777777777777778
2;71;1;"VP2";0.833333333333333
2;72;1;"VP2";0.833333333333333
2;73;1;"VP2";0.866666666666667
2;74;1;"VP2";0.766666666666667
2;75;1;"VP2";0.855555555555556
2;76;1;"VP2";0.922222222222222
2;77;1;"VP2";0.844444444444444
2;78;1;"VP2";0.955555555555556
2;79;1;"VP2";0.811111111111111
2;80;1;"VP2";0.811111111111111
2;81;1;"VP2";0.8
2;82;1;"VP2";0.844444444444444
2;83;1;"VP2";0.711111111111111
2;84;1;"VP2";0.811111111111111
2;85;1;"VP2";0.9
2;86;1;"VP2";0.755555555555556
2;87;1;"VP2";0.788888888888889
2;88;1;"VP2";0.822222222222222
2;89;1;"VP2";0.855555555555556
2;90;1;"VP2";0.911111111111111
2;91;1;"VP2";0.8
2;92;1;"VP2";0.788888888888889
2;93;1;"VP2";0.844444444444444
2;94;1;"VP2";0.811111111111111
2;95;1;"VP2";0.833333333333333
2;96;1;"VP2";0.9
2;97;1;"VP2";0.855555555555556
2;98;1;"VP2";0.833333333333333
2;99;1;"VP2";0.822222222222222
2;100;1;"VP2";0.844444444444444
3;1;1;"VP3";0.644444444444444
3;2;1;"VP3";0.811111111111111
3;3;1;"VP3";0.911111111111111
3;4;1;"VP3";0.855555555555556
3;5;1;"VP3";0.8
3;6;1;"VP3";0.855555555555556
3;7;1;"VP3";0.855555555555556
3;8;1;"VP3";0.788888888888889
3;9;1;"VP3";0.777777777777778
3;10;1;"VP3";0.766666666666667
3;11;1;"VP3";0.855555555555556
3;12;1;"VP3";0.822222222222222
3;13;1;"VP3";0.766666666666667
3;14;1;"VP3";0.844444444444444
3;15;1;"VP3";0.866666666666667
3;16;1;"VP3";0.811111111111111
3;17;1;"VP3";0.9
3;18;1;"VP3";0.855555555555556
3;19;1;"VP3";0.777777777777778
