"ind";"experiment";"cond";"model";"performance"
2;1;"I";"rnonc";0.42
2;1;"I";"sev";0.68
2;1;"I";"vfirst";0.9
2;1;"I";"wta";0.67
2;2;"BPV1";"2scal";0.81
2;2;"BPV1";"pfirst";0.82
2;2;"BPV1";"rnonc";0.55
2;2;"BPV1";"sev";0.75
2;2;"BPV1";"vfirst";0.79
2;2;"BPV1";"wta";0.78
2;2;"BPV2";"2scal";0.72
2;2;"BPV2";"pfirst";0.79
2;2;"BPV2";"rnonc";0.72
2;2;"BPV2";"sev";0.83
2;2;"BPV2";"vfirst";0.8
2;2;"BPV2";"wta";0.74
2;2;"BVP1";"2scal";0.77
2;2;"BVP1";"pfirst";0.64
2;2;"BVP1";"rnonc";0.66
2;2;"BVP1";"sev";0.76
2;2;"BVP1";"vfirst";0.91
2;2;"BVP1";"wta";0.8
2;2;"BVP2";"2scal";0.85
2;2;"BVP2";"pfirst";0.66
2;2;"BVP2";"rnonc";0.63
2;2;"BVP2";"sev";0.79
2;2;"BVP2";"vfirst";0.94
2;2;"BVP2";"wta";0.76
2;2;"C";"2scal";0.91
2;2;"C";"pfirst";0.94
2;2;"C";"rnonc";0.74
2;2;"C";"sev";0.85
2;2;"C";"vfirst";0.99
2;2;"C";"wta";0.92
2;2;"I";"2scal";0.47
2;2;"I";"pfirst";0.26
2;2;"I";"rnonc";0.42
2;2;"I";"sev";0.64
2;2;"I";"vfirst";0.83
2;2;"I";"wta";0.54
2;3;"PV1";"2scal";0.7
2;3;"PV1";"pfirst";0.72
2;3;"PV1";"rnonc";0.7
2;3;"PV1";"sev";0.74
2;3;"PV1";"vfirst";0.69
2;3;"PV1";"wta";0.67
2;3;"PV2";"2scal";0.69
2;3;"PV2";"pfirst";0.69
2;3;"PV2";"rnonc";0.62
2;3;"PV2";"sev";0.57
2;3;"PV2";"vfirst";0.67
2;3;"PV2";"wta";0.73
2;3;"PV3";"2scal";0.69
2;3;"PV3";"pfirst";0.72
2;3;"PV3";"rnonc";0.68
2;3;"PV3";"sev";0.71
2;3;"PV3";"vfirst";0.58
2;3;"PV3";"wta";0.74
2;3;"PV4";"2scal";0.77
2;3;"PV4";"pfirst";0.68
2;3;"PV4";"rnonc";0.58
2;3;"PV4";"sev";0.69
2;3;"PV4";"vfirst";0.7
2;3;"PV4";"wta";0.66
2;3;"VP1";"2scal";0.68
2;3;"VP1";"pfirst";0.58
2;3;"VP1";"rnonc";0.62
2;3;"VP1";"sev";0.68
2;3;"VP1";"vfirst";0.82
2;3;"VP1";"wta";0.7
2;3;"VP2";"2scal";0.7
2;3;"VP2";"pfirst";0.61
2;3;"VP2";"rnonc";0.68
2;3;"VP2";"sev";0.63
2;3;"VP2";"vfirst";0.76
2;3;"VP2";"wta";0.66
2;3;"VP3";"2scal";0.76
2;3;"VP3";"pfirst";0.64
2;3;"VP3";"rnonc";0.57
2;3;"VP3";"sev";0.59
2;3;"VP3";"vfirst";0.82
2;3;"VP3";"wta";0.71
2;3;"VP4";"2scal";0.61
2;3;"VP4";"pfirst";0.67
2;3;"VP4";"rnonc";0.55
2;3;"VP4";"sev";0.66
2;3;"VP4";"vfirst";0.72
2;3;"VP4";"wta";0.72
3;1;"BPV1";"2scal";0.67
3;1;"BPV1";"pfirst";0.71
3;1;"BPV1";"rnonc";0.67
3;1;"BPV1";"sev";0.74
3;1;"BPV1";"vfirst";0.69
3;1;"BPV1";"wta";0.73
3;1;"BPV2";"2scal";0.76
3;1;"BPV2";"pfirst";0.73
