"cond";"par";"gamma";"performance";"pred_perf";"obs_perf";"deviance"
"BPV1";0.1;1.6;0.717;0.700426898246284;0.74;0.00156603038240995
"BPV1";0.1;1.65;0.71;0.698596242108709;0.74;0.00171427116752064
"BPV1";0.1;1.7;0.703;0.696740832257409;0.74;0.00187135559378162
"BPV1";0.1;1.75;0.704;0.694727836202846;0.74;0.00204956881487636
"BPV1";0.1;1.8;0.702;0.69253306161978;0.74;0.00225311023919157
"BPV1";0.1;1.85;0.687;0.690238692328442;0.74;0.00247618774118344
"BPV1";0.1;1.9;0.662;0.687871460057496;0.74;0.00271738467653725
"BPV1";0.1;1.95;0.694;0.685458096535606;0.74;0.0029748192335193
"BPV1";0.1;2;0.675;0.683025333491436;0.74;0.00324611262376208
"BPV1";0.15;0.05;1;1.04204139550624;0.74;0.091229004599359
"BPV1";0.15;0.1;1;1.01933083125042;0.74;0.078025713287053
"BPV1";0.15;0.15;1;0.997362638905615;0.74;0.066235527904462
"BPV1";0.15;0.2;0.999;0.976067865523444;0.74;0.0557280371327951
"BPV1";0.15;0.25;0.986;0.955377558155541;0.74;0.0463874925570434
"BPV1";0.15;0.3;0.967;0.935280273957557;0.74;0.0381343853969386
"BPV1";0.15;0.35;0.936;0.915854986838237;0.74;0.0309249763958766
"BPV1";0.15;0.4;0.925;0.89716836897885;0.74;0.0247018962074718
"BPV1";0.15;0.45;0.881;0.879287092560662;0.74;0.0194008941540023
"BPV1";0.15;0.5;0.85;0.86227782976494;0.74;0.0149518676520238
"BPV1";0.15;0.55;0.853;0.845467110219435;0.74;0.0111233113380384
"BPV1";0.15;0.6;0.8;0.828569937211467;0.74;0.00784463377764327
"BPV1";0.15;0.65;0.814;0.812235693411669;0.74;0.00521799540266471
"BPV1";0.15;0.7;0.77;0.797113761490671;0.74;0.00326198175161331
"BPV1";0.15;0.75;0.764;0.783853524119104;0.74;0.00192313157766486
"BPV1";0.15;0.8;0.768;0.773243998431208;0.74;0.00110516343169417
"BPV1";0.15;0.85;0.777;0.765043415599171;0.74;0.000627172664872813
"BPV1";0.15;0.9;0.755;0.758354979350545;0.74;0.000336905266958949
"BPV1";0.15;0.95;0.766;0.752281893412883;0.74;0.000150844905805408
"BPV1";0.15;1;0.762;0.745927361513735;0.74;3.51336145145025e-05
"BPV1";0.15;1.05;0.753;0.740043433144416;0.74;1.88643803382395e-09
"BPV1";0.15;1.1;0.737;0.735546904771586;0.74;1.98300571133272e-05
"BPV1";0.15;1.15;0.726;0.731788100585816;0.74;6.7435291988679e-05
"BPV1";0.15;1.2;0.724;0.728117344777678;0.74;0.000141197495132585
"BPV1";0.15;1.25;0.707;0.723884961537742;0.74;0.000259694464640045
"BPV1";0.15;1.3;0.718;0.719187689122362;0.74;0.000433152284067436
"BPV1";0.15;1.35;0.739;0.714601431738222;0.74;0.000645087269748174
"BPV1";0.15;1.4;0.686;0.710195262501392;0.74;0.000888322377360937
"BPV1";0.15;1.45;0.723;0.70603825452794;0.74;0.00115340015550898
"BPV1";0.15;1.5;0.706;0.702199480933937;0.74;0.00142887924166378
"BPV1";0.15;1.55;0.699;0.698652319213927;0.74;0.00170963070638703
"BPV1";0.15;1.6;0.678;0.695329468111363;0.74;0.00199545641921376
"BPV1";0.15;1.65;0.7;0.692238982615682;0.74;0.0022811147815851
"BPV1";0.15;1.7;0.697;0.68938891771632;0.74;0.00256148164992538
"BPV1";0.15;1.75;0.688;0.686787328402714;0.74;0.00283158841852065
"BPV1";0.15;1.8;0.671;0.684432899970001;0.74;0.00308770260574394
"BPV1";0.15;1.85;0.686;0.682317954718354;0.74;0.00332721834787391
"BPV1";0.15;1.9;0.69;0.680441003144757;0.74;0.00354727410640287
"BPV1";0.15;1.95;0.664;0.678800555746195;0.74;0.00374537197697461
"BPV1";0.15;2;0.685;0.677395123019653;0.74;0.00391937062172444
"BPV1";0.2;0.05;1;1.03525560155538;0.74;0.0871758702498288
"BPV1";0.2;0.1;1;1.01422606903439;0.74;0.0751999369380533
"BPV1";0.2;0.15;0.999;0.993771120820353;0.74;0.0643997817624183
"BPV1";0.2;0.2;0.995;0.973809007225567;0.74;0.054666651859805
"BPV1";0.2;0.25;0.968;0.954257978562322;0.74;0.0459064813776124
"BPV1";0.2;0.3;0.964;0.93508336415666;0.74;0.0380575189706802
"BPV1";0.2;0.35;0.928;0.916367203111671;0.74;0.0311053903334335
"BPV1";0.2;0.4;0.909;0.898202810405221;0.74;0.0250281292201104
"BPV1";0.2;0.45;0.898;0.880683501015177;0.74;0.0197918474578873
"BPV1";0.2;0.5;0.859;0.863902589919405;0.74;0.0153518517887363
"BPV1";0.2;0.55;0.839;0.847225119143143;0.74;0.0114972261752611
"BPV1";0.2;0.6;0.838;0.830359698065188;0.74;0.00816487503443187
"BPV1";0.2;0.65;0.807;0.813914992693749;0.74;0.00546342614491702
"BPV1";0.2;0.7;0.795;0.798499669037038;0.74;0.00342221127744294
"BPV1";0.2;0.75;0.778;0.784722393103262;0.74;0.00200009244488266
"BPV1";0.2;0.8;0.767;0.772793307294327;0.74;0.00107540100330015
"BPV1";0.2;0.85;0.751;0.762333573281106;0.74;0.000498788495502545
"BPV1";0.2;0.9;0.738;0.753068385975259;0.74;0.000170782711998345
"BPV1";0.2;0.95;0.752;0.744722940288444;0.74;2.23061649682096e-05
"BPV1";0.2;1;0.729;0.737022431132321;0.74;8.8659163617697e-06
"BPV1";0.2;1.05;0.738;0.730685686961545;0.74;8.67564273783262e-05
"BPV1";0.2;1.1;0.767;0.726135396142493;0.74;0.000192227240125604
"BPV1";0.2;1.15;0.733;0.722652543454405;0.74;0.000300934248601314
"BPV1";0.2;1.2;0.721;0.719518113676523;0.74;0.000419507667367844
"BPV1";0.2;1.25;0.694;0.716013091588088;0.74;0.000575371775161454
"BPV1";0.2;1.3;0.681;0.712486873482346;0.74;0.000756972130776443
"BPV1";0.2;1.35;0.697;0.709592339928654;0.74;0.000924625791014543
"BPV1";0.2;1.4;0.728;0.707065702120422;0.74;0.00108466797682078
"BPV1";0.2;1.45;0.71;0.704643171251061;0.74;0.00125010533918183
"BPV1";0.2;1.5;0.705;0.70206095851398;0.74;0.00143937086887796
"BPV1";0.2;1.55;0.707;0.699447608288848;0.74;0.00164449647349467
"BPV1";0.2;1.6;0.705;0.697078534929882;0.74;0.00184225216376536
"BPV1";0.2;1.65;0.723;0.694910254592312;0.74;0.00203308514093013
"BPV1";0.2;1.7;0.669;0.692899283431369;0.74;0.00221847750127852
"BPV1";0.2;1.75;0.68;0.691002137602284;0.74;0.00240079051954548
"BPV1";0.2;1.8;0.702;0.689207764282758;0.74;0.00257985120915585
"BPV1";0.2;1.85;0.701;0.687540361016987;0.74;0.00275201372222809
"BPV1";0.2;1.9;0.674;0.686009319509945;0.74;0.00291499357977919
"BPV1";0.2;1.95;0.683;0.684624031466609;0.74;0.00306649789101112
"BPV1";0.2;2;0.68;0.683393888591953;0.74;0.00320425184874022
"BPV1";0.25;0.05;1;1.03769129895731;0.74;0.0886201094748913
"BPV1";0.25;0.1;1;1.01602842853429;0.74;0.0761916933591112
"BPV1";0.25;0.15;1;0.994976894503587;0.74;0.0650132167306933
"BPV1";0.25;0.2;0.995;0.974458841462963;0.74;0.0549709483401547
"BPV1";0.25;0.25;0.989;0.954396414010189;0.74;0.0459658223404286
"BPV1";0.25;0.3;0.959;0.934752691265286;0.74;0.0379286107550717
"BPV1";0.25;0.35;0.924;0.915603196069916;0.74;0.0308364824699694
"BPV1";0.25;0.4;0.91;0.89703873860432;0.74;0.0246611654224359
"BPV1";0.25;0.45;0.877;0.879150129048735;0.74;0.0193627584142796
"BPV1";0.25;0.5;0.847;0.8620281775834;0.74;0.0148908761243259
"BPV1";0.25;0.55;0.858;0.844992676794569;0.74;0.0110234621804889
"BPV1";0.25;0.6;0.839;0.827741281181532;0.74;0.00769853242337672
"BPV1";0.25;0.65;0.787;0.810931593794082;0.74;0.00503129099816867
"BPV1";0.25;0.7;0.794;0.795221217682013;0.74;0.00304938288228422
"BPV1";0.25;0.75;0.786;0.781267755895117;0.74;0.00170302767661898
"BPV1";0.25;0.8;0.756;0.769392592336629;0.74;0.000863924484267285
"BPV1";0.25;0.85;0.751;0.759212943805751;0.74;0.000369137209682942
"BPV1";0.25;0.9;0.745;0.750330162696228;0.74;0.00010671226133054
"BPV1";0.25;0.95;0.763;0.742345601401807;0.74;5.50184593615717e-06
"BPV1";0.25;1;0.74;0.734860612316233;0.74;2.64133057640592e-05
"BPV1";0.25;1.05;0.722;0.728619032942186;0.74;0.00012952641117104
"BPV1";0.25;1.1;0.716;0.724145536401122;0.74;0.000251364016008133
"BPV1";0.25;1.15;0.724;0.720712728514951;0.74;0.000371998841337986
"BPV1";0.25;1.2;0.716;0.717593215105581;0.74;0.000502064009304756
"BPV1";0.25;1.25;0.711;0.714059601994922;0.74;0.000672904248661836
"BPV1";0.25;1.3;0.72;0.710423772668257;0.74;0.00087475322317893
"BPV1";0.25;1.35;0.714;0.707346221989598;0.74;0.00106626921835264
"BPV1";0.25;1.4;0.7;0.704622472848948;0.74;0.00125156942732342
"BPV1";0.25;1.45;0.702;0.702048048136313;0.74;0.00144035065026362
"BPV1";0.25;1.5;0.681;0.699418470741696;0.74;0.00164686051694255
"BPV1";0.25;1.55;0.722;0.69683627081511;0.74;0.00186310751714656
"BPV1";0.25;1.6;0.706;0.694517169700189;0.74;0.0020686878520814
"BPV1";0.25;1.65;0.699;0.692426477077378;0.74;0.00226324008326927
"BPV1";0.25;1.7;0.684;0.690529502627118;0.74;0.00244733011032034
"BPV1";0.25;1.75;0.688;0.688791556029853;0.74;0.00262230473384371
"BPV1";0.25;1.8;0.679;0.68720613338319;0.74;0.00278719235235356
"BPV1";0.25;1.85;0.678;0.68579490421003;0.74;0.00293819240959981
"BPV1";0.25;1.9;0.689;0.684565438328756;0.74;0.00307299062768295
"BPV1";0.25;1.95;0.687;0.68352530555775;0.74;0.00318939111234545
"BPV1";0.25;2;0.682;0.682682075715396;0.74;0.00328534444429559
"BPV1";0.3;0.05;1;1.03955384420897;0.74;0.0897325055803714
"BPV1";0.3;0.1;1;1.01627888476369;0.74;0.0763300221662702
"BPV1";0.3;0.15;0.999;0.993736118057428;0.74;0.0643820176068528
"BPV1";0.3;0.2;0.992;0.971847549818405;0.74;0.0537532863567978
"BPV1";0.3;0.25;0.982;0.950535185774859;0.74;0.0443250644492545
"BPV1";0.3;0.3;0.962;0.929765096366759;0.74;0.0360107917990852
"BPV1";0.3;0.35;0.923;0.909614617725716;0.74;0.0287691185462407
"BPV1";0.3;0.4;0.891;0.890172654117432;0.74;0.0225518260446737
"BPV1";0.3;0.45;0.88;0.871528109807606;0.74;0.0172996436695616
"BPV1";0.3;0.5;0.852;0.853769889061939;0.74;0.0129435876571658
"BPV1";0.3;0.55;0.841;0.836189824883684;0.74;0.00925248241115388
"BPV1";0.3;0.6;0.809;0.818476788027242;0.74;0.0061586062590726
"BPV1";0.3;0.65;0.772;0.801315239385027;0.74;0.00375955858084317
"BPV1";0.3;0.7;0.793;0.785389639849459;0.74;0.0020602194056636
"BPV1";0.3;0.75;0.771;0.771384450312955;0.74;0.000984983721446342
"BPV1";0.3;0.8;0.757;0.759933135108749;0.74;0.000397329875263662
"BPV1";0.3;0.85;0.763;0.750712811177437;0.74;0.000114764323323427
"BPV1";0.3;0.9;0.734;0.742973418322477;0.74;8.84121652043993e-06
"BPV1";0.3;0.95;0.727;0.735964896347325;0.74;1.62820614878339e-05
"BPV1";0.3;1;0.736;0.728937185055439;0.74;0.000122385874497592
"BPV1";0.3;1.05;0.712;0.72261258952731;0.74;0.000302322042945798
"BPV1";0.3;1.1;0.723;0.717796960126714;0.74;0.000492974979614737
"BPV1";0.3;1.15;0.708;0.713865554582038;0.74;0.000683009237304438
"BPV1";0.3;1.2;0.724;0.710193630621671;0.74;0.000888419655517391
"BPV1";0.3;1.25;0.724;0.706156445974001;0.74;0.00114538614911071
"BPV1";0.3;1.3;0.701;0.701993256325393;0.74;0.00144451256474727
"BPV1";0.3;1.35;0.697;0.698282226313037;0.74;0.00174037264139666
"BPV1";0.3;1.4;0.699;0.694906977091559;0.74;0.00203338071502117
"BPV1";0.3;1.45;0.685;0.691751129815586;0.74;0.00232795347407247
"BPV1";0.3;1.5;0.678;0.688698305639743;0.74;0.0026318638442332
"BPV1";0.3;1.55;0.681;0.685787556448039;0.74;0.0029389890358746
"BPV1";0.3;1.6;0.701;0.683131965650432;0.74;0.00323397333078367
"BPV1";0.3;1.65;0.681;0.68072620169048;0.74;0.00351338316603769
"BPV1";0.3;1.7;0.65;0.678564933011739;0.74;0.00377426745585217
"BPV1";0.3;1.75;0.693;0.676642828057765;0.74;0.00401413123651792
"BPV1";0.3;1.8;0.688;0.674962829346555;0.74;0.00422983356660536
"BPV1";0.3;1.85;0.678;0.673531464502568;0.74;0.00441806621117334
"BPV1";0.3;1.9;0.662;0.67234877962906;0.74;0.00457668761767742
"BPV1";0.3;1.95;0.668;0.671414820829286;0.74;0.00470392680187895
"BPV1";0.3;2;0.673;0.670729634206499;0.74;0.00479838357716537
"BPV1";0.35;0.05;1;1.0315542954873;0.74;0.0850039072170934
"BPV1";0.35;0.1;1;1.00833768374474;0.74;0.0720051125174898
"BPV1";0.35;0.15;0.996;0.985931493373013;0.74;0.0604822994326803
"BPV1";0.35;0.2;0.98;0.964317707765064;0.74;0.0503184340169726
"BPV1";0.35;0.25;0.967;0.943478310313824;0.74;0.041403422768169
"BPV1";0.35;0.3;0.947;0.923418412076279;0.74;0.0336423138885838
"BPV1";0.35;0.35;0.915;0.904161812699091;0.74;0.0269491007486516
"BPV1";0.35;0.4;0.886;0.885718528459711;0.74;0.0212338895364637
"BPV1";0.35;0.45;0.858;0.868098575635591;0.74;0.0164092450798673
"BPV1";0.35;0.5;0.845;0.851311970504182;0.74;0.0123903547775238
"BPV1";0.35;0.55;0.819;0.835068508971923;0.74;0.00903802139814458
"BPV1";0.35;0.6;0.815;0.81926686516236;0.74;0.00628323591266782
"BPV1";0.35;0.65;0.784;0.804200372678606;0.74;0.00412168785207187
"BPV1";0.35;0.7;0.804;0.790162365123771;0.74;0.0025162628748105
"BPV1";0.35;0.75;0.786;0.777446176100967;0.74;0.00140221610458462
"BPV1";0.35;0.8;0.748;0.766565763943854;0.74;0.000705739813920574
"BPV1";0.35;0.85;0.764;0.757447164445503;0.74;0.000304403547188416
"BPV1";0.35;0.9;0.768;0.749501827398141;0.74;9.02847239040626e-05
"BPV1";0.35;0.95;0.719;0.742141202593996;0.74;4.58474854853318e-06
"BPV1";0.35;1;0.753;0.734776739825294;0.74;2.72824468526719e-05
"BPV1";0.35;1.05;0.735;0.727748151824393;0.74;0.000150107783718121
"BPV1";0.35;1.1;0.735;0.721611941439949;0.74;0.000338120697607881
"BPV1";0.35;1.15;0.696;0.716104743638635;0.74;0.000570983276575366
"BPV1";0.35;1.2;0.713;0.710963193387126;0.74;0.000843136138273443
"BPV1";0.35;1.25;0.682;0.705923925652097;0.74;0.00116117884296382
"BPV1";0.35;1.3;0.711;0.701125799649849;0.74;0.00151120345286369
"BPV1";0.35;1.35;0.705;0.696821159400743;0.74;0.00186441227549607
"BPV1";0.35;1.4;0.707;0.692916867077541;0.74;0.00221682140579392
"BPV1";0.35;1.45;0.666;0.689319784853007;0.74;0.00256848420734548
"BPV1";0.35;1.5;0.701;0.685936774899904;0.74;0.00292283230822368
"BPV1";0.35;1.55;0.684;0.682821615233861;0.74;0.00326936768446464
"BPV1";0.35;1.6;0.68;0.680074396757742;0.74;0.00359107792394853
"BPV1";0.35;1.65;0.702;0.67767145097516;0.74;0.00388484802354191
"BPV1";0.35;1.7;0.647;0.675589109389727;0.74;0.00414876282920859
"BPV1";0.35;1.75;0.672;0.673803703505056;0.74;0.00438194966964656
"BPV1";0.35;1.8;0.687;0.672310980291366;0.74;0.00458180338911585
"BPV1";0.35;1.85;0.672;0.671125642999254;0.74;0.00474367705226622
"BPV1";0.35;1.9;0.664;0.670252457552899;0.74;0.00486471967741021
"BPV1";0.35;1.95;0.666;0.669696189876479;0.74;0.00494262571788404
"BPV1";0.35;2;0.672;0.669461605894175;0.74;0.00497566504302868
"BPV1";0.4;0.05;1;1.03517869025779;0.74;0.087130459182305
"BPV1";0.4;0.1;1;1.00933685576621;0.74;0.0725423418740268
"BPV1";0.4;0.15;0.994;0.984524453025295;0.74;0.0597922081273197
"BPV1";0.4;0.2;0.978;0.960709798607973;0.74;0.0487128152015718
"BPV1";0.4;0.25;0.963;0.937861209087159;0.74;0.0391490580614324
"BPV1";0.4;0.3;0.928;0.915985053293901;0.74;0.0309707389828571
"BPV1";0.4;0.35;0.902;0.895123310904235;0.74;0.024063241585892
"BPV1";0.4;0.4;0.898;0.875297714758565;0.74;0.0183054716188899
"BPV1";0.4;0.45;0.868;0.856529997697293;0.74;0.0135792403633312
"BPV1";0.4;0.5;0.826;0.838841892560825;0.74;0.0097697197250056
"BPV1";0.4;0.55;0.812;0.821886292034678;0.74;0.0067053648231885
"BPV1";0.4;0.6;0.791;0.80552928736971;0.74;0.00429408750318202
"BPV1";0.4;0.65;0.768;0.790112409254333;0.74;0.00251125356127377
"BPV1";0.4;0.7;0.777;0.775977188376959;0.74;0.00129435808351118
"BPV1";0.4;0.75;0.763;0.763465155425999;0.74;0.000550613519166281
"BPV1";0.4;0.8;0.754;0.753439862206739;0.74;0.000180629896136137
"BPV1";0.4;0.85;0.727;0.745885959045985;0.74;3.46445138910086e-05
"BPV1";0.4;0.9;0.722;0.739826624414425;0.74;3.00590936733809e-08
"BPV1";0.4;0.95;0.759;0.73428503678275;0.74;3.26608045745174e-05
"BPV1";0.4;1;0.757;0.728284374621649;0.74;0.000137255878005857
"BPV1";0.4;1.05;0.731;0.722337188933486;0.74;0.000311974894771386
"BPV1";0.4;1.1;0.723;0.717372117528438;0.74;0.000512021065146838
"BPV1";0.4;1.15;0.705;0.713036469088919;0.74;0.000727031999192812
"BPV1";0.4;1.2;0.699;0.708977552297343;0.74;0.000962392261464092
"BPV1";0.4;1.25;0.715;0.704842675836122;0.74;0.001236037442364
"BPV1";0.4;1.3;0.686;0.700744019170251;0.74;0.00154103203090561
