"pset";"nrep";"Choice_type";"cond_names";"performance"
1;1;1;"BVP1";0.833333333333333
1;2;1;"BVP1";0.811111111111111
1;3;1;"BVP1";0.788888888888889
1;4;1;"BVP1";0.7
1;5;1;"BVP1";0.844444444444444
1;6;1;"BVP1";0.111111111111111
1;7;1;"BVP1";0.855555555555556
1;8;1;"BVP1";0.8
1;9;1;"BVP1";0.788888888888889
1;10;1;"BVP1";0.0999999999999999
1;11;1;"BVP1";0.877777777777778
1;12;1;"BVP1";0.844444444444444
1;13;1;"BVP1";0.744444444444444
1;14;1;"BVP1";0.866666666666667
1;15;1;"BVP1";0.8
1;16;1;"BVP1";0.888888888888889
1;17;1;"BVP1";0.888888888888889
1;18;1;"BVP1";0.0333333333333333
1;19;1;"BVP1";0.855555555555555
1;20;1;"BVP1";0.844444444444444
1;21;1;"BVP1";0.788888888888889
1;22;1;"BVP1";0.811111111111111
1;23;1;"BVP1";0.922222222222222
1;24;1;"BVP1";0.844444444444444
1;25;1;"BVP1";0.877777777777778
1;26;1;"BVP1";0.844444444444445
1;27;1;"BVP1";0.655555555555556
1;28;1;"BVP1";0.622222222222222
1;29;1;"BVP1";0.788888888888889
1;30;1;"BVP1";0.8
1;31;1;"BVP1";0.688888888888889
1;32;1;"BVP1";0.877777777777778
1;33;1;"BVP1";0.8
1;34;1;"BVP1";0.777777777777778
1;35;1;"BVP1";0.822222222222222
1;36;1;"BVP1";0.833333333333334
1;37;1;"BVP1";0.788888888888889
1;38;1;"BVP1";0.777777777777778
1;39;1;"BVP1";0.855555555555556
1;40;1;"BVP1";0.8
1;41;1;"BVP1";0.855555555555556
1;42;1;"BVP1";0.844444444444444
1;43;1;"BVP1";0.788888888888889
1;44;1;"BVP1";0.822222222222222
1;45;1;"BVP1";0.8
1;46;1;"BVP1";0.833333333333333
1;47;1;"BVP1";0.822222222222222
1;48;1;"BVP1";0.844444444444444
1;49;1;"BVP1";0.8
1;50;1;"BVP1";0.822222222222222
1;51;1;"BVP1";0.877777777777778
1;52;1;"BVP1";0.8
1;53;1;"BVP1";0.822222222222222
1;54;1;"BVP1";0.855555555555556
1;55;1;"BVP1";0.844444444444444
1;56;1;"BVP1";0.333333333333333
1;57;1;"BVP1";0.844444444444444
1;58;1;"BVP1";0.777777777777778
1;59;1;"BVP1";0.844444444444444
1;60;1;"BVP1";0.777777777777778
