day;path;comments
110;raw/AGC2VolProbDiscrim-15.11.03.csv;most mice's baseline conditions were repeated due to unusually few visits in the previous days. Only the repeats included in the analysis
111;raw/AGC2VolProbDiscrim-15.11.04.csv;
112;raw/VolProbDiscrimExplore-15.10.11.csv;training procedure needed to be altered by including an extra valve clicking phase, prior to this one (data excluded here)
113;raw/VolProbDiscrimExplore-15.10.12.csv;
114;raw/VolProbDiscrim-15.10.13.csv;
115;raw/VolProbDiscrim-15.10.14.csv;
116;raw/VolProbDiscrim-15.10.15.csv;
117;raw/VolProbDiscrim-15.10.16.csv;
118;raw/VolProbDiscrim-15.10.17.csv;
119;raw/VolProbDiscrim-15.10.18.csv;
120;raw/VolProbDiscrim-15.10.19.csv;
121;raw/VolProbDiscrim-15.10.20.csv;
122;raw/VolProbDiscrim-15.10.21.csv;
123;raw/VolProbDiscrim-15.10.22.csv;
124;raw/VolProbDiscrim-15.10.23.csv;
125;raw/VolProbDiscrim-15.10.24.csv;
126;raw/VolProbDiscrimExploreP-15.10.25.csv;
127;raw/VolProbDiscrim-15.10.26.csv;
128;raw/VolProbDiscrim-15.10.27.csv;
129;raw/VolProbDiscrim-15.10.28.csv;
130;raw/VolProbDiscrim-15.10.29.csv;
131;raw/VolProbDiscrim-15.10.30.csv;
132;raw/VolProbDiscrim-15.10.31.csv;
133;raw/VolProbDiscrim-15.11.01.csv;
134;raw/VolProbDiscrim-15.11.02.csv;
135;raw/VolProbDiscrim-15.11.03.csv;
136;raw/VolProbDiscrim-15.11.04.csv;
137;raw/VolProbDiscrimExploreP-15.11.05.csv;
138;raw/VolProbDiscrim-15.11.06.csv;
139;raw/VolProbDiscrim-15.11.07.csv;
140;raw/VolProbDiscrim-15.11.08.csv;
141;raw/VolProbDiscrim-15.11.09.csv;
142;raw/VolProbDiscrim-15.11.10.csv;
143;raw/VolProbDiscrim-15.11.11.csv;
144;raw/VolProbDiscrim-15.11.12.csv;
145;raw/VolProbDiscrim-15.11.13.csv;
146;raw/VolProbDiscrim-15.11.14.csv;
147;raw/VolProbDiscrim-15.11.15.csv;
148;raw/VolProbDiscrim-15.11.16.csv;
149;raw/VolProbDiscrim-15.11.17.csv;
150;raw/VolProbDiscrim-15.11.18.csv;
151;raw/VolProbDiscrim-15.11.19.csv;
152;raw/VolProbDiscrim-15.11.20.csv;
153;raw/VolProbDiscrim-15.11.21.csv;
154;raw/VolProbDiscrimExploreP-15.11.26.csv;water ad. lib. for 4 days
155;raw/VolProbDiscrim-15.11.27.csv;
156;raw/VolProbDiscrim-15.11.28.csv;
157;raw/VolProbDiscrim-15.11.29.csv;
158;raw/VolProbDiscrim-15.11.30.csv;
159;raw/VolProbDiscrim-15.12.01.csv;
160;raw/VolProbDiscrim-15.12.02.csv;
161;raw/VolProbDiscrim-15.12.03.csv;
162;raw/VolProbDiscrim-15.12.04.csv;
163;raw/VolProbDiscrim-15.12.05.csv;
164;raw/VolProbDiscrim-15.12.06.csv;
165;raw/VolProbDiscrim-15.12.07.csv;
166;raw/VolProbDiscrim-15.12.08.csv;
